"rules","support","confidence","lift","count"
"{liquor,red/blush wine} => {bottled beer}",0.00193187595322827,0.904761904761905,11.2352693602694,19
"{citrus fruit,fruit/vegetable juice,other vegetables,soda} => {root vegetables}",0.00101677681748856,0.909090909090909,8.34040027137042,10
"{oil,other vegetables,tropical fruit,whole milk,yogurt} => {root vegetables}",0.00101677681748856,0.909090909090909,8.34040027137042,10
"{citrus fruit,fruit/vegetable juice,grapes} => {tropical fruit}",0.00111845449923742,0.846153846153846,8.06387895050686,11
"{other vegetables,rice,whole milk,yogurt} => {root vegetables}",0.00132180986273513,0.866666666666667,7.9511815920398,13
"{oil,other vegetables,tropical fruit,whole milk} => {root vegetables}",0.00132180986273513,0.866666666666667,7.9511815920398,13
"{ham,other vegetables,pip fruit,yogurt} => {tropical fruit}",0.00101677681748856,0.833333333333333,7.94169896640827,10
"{beef,citrus fruit,other vegetables,tropical fruit} => {root vegetables}",0.00101677681748856,0.833333333333333,7.64536691542289,10
"{butter,cream cheese,root vegetables} => {yogurt}",0.00101677681748856,0.909090909090909,6.51669758812616,10
"{butter,sliced cheese,tropical fruit,whole milk} => {yogurt}",0.00101677681748856,0.909090909090909,6.51669758812616,10
"{cream cheese,curd,other vegetables,whipped/sour cream} => {yogurt}",0.00101677681748856,0.909090909090909,6.51669758812616,10
"{butter,other vegetables,tropical fruit,white bread} => {yogurt}",0.00101677681748856,0.909090909090909,6.51669758812616,10
"{pip fruit,sausage,sliced cheese} => {yogurt}",0.00122013218098627,0.857142857142857,6.14431486880467,12
"{butter,curd,tropical fruit,whole milk} => {yogurt}",0.00122013218098627,0.857142857142857,6.14431486880467,12
"{butter,tropical fruit,white bread} => {yogurt}",0.00111845449923742,0.846153846153846,6.06554160125589,11
"{butter,margarine,tropical fruit} => {yogurt}",0.00111845449923742,0.846153846153846,6.06554160125589,11
"{cream cheese,curd,whipped/sour cream,whole milk} => {yogurt}",0.00111845449923742,0.846153846153846,6.06554160125589,11
"{cream cheese,margarine,whipped/sour cream} => {yogurt}",0.00101677681748856,0.833333333333333,5.97363945578231,10
"{beef,butter,tropical fruit} => {yogurt}",0.00101677681748856,0.833333333333333,5.97363945578231,10
"{fruit/vegetable juice,pork,tropical fruit} => {yogurt}",0.00101677681748856,0.833333333333333,5.97363945578231,10
"{butter,curd,other vegetables,tropical fruit} => {yogurt}",0.00101677681748856,0.833333333333333,5.97363945578231,10
"{margarine,root vegetables,tropical fruit,whole milk} => {yogurt}",0.00101677681748856,0.833333333333333,5.97363945578231,10
"{butter milk,other vegetables,pastry} => {yogurt}",0.00122013218098627,0.8,5.73469387755102,12
"{fruit/vegetable juice,pastry,whipped/sour cream} => {yogurt}",0.00122013218098627,0.8,5.73469387755102,12
"{citrus fruit,root vegetables,soft cheese} => {other vegetables}",0.00101677681748856,1,5.16815554387809,10
"{brown bread,pip fruit,whipped/sour cream} => {other vegetables}",0.00111845449923742,1,5.16815554387809,11
"{grapes,tropical fruit,whole milk,yogurt} => {other vegetables}",0.00101677681748856,1,5.16815554387809,10
"{ham,pip fruit,tropical fruit,yogurt} => {other vegetables}",0.00101677681748856,1,5.16815554387809,10
"{ham,pip fruit,tropical fruit,whole milk} => {other vegetables}",0.00111845449923742,1,5.16815554387809,11
"{butter,fruit/vegetable juice,tropical fruit,whipped/sour cream} => {other vegetables}",0.00101677681748856,1,5.16815554387809,10
"{newspapers,rolls/buns,soda,whole milk} => {other vegetables}",0.00101677681748856,1,5.16815554387809,10
"{citrus fruit,root vegetables,tropical fruit,whipped/sour cream} => {other vegetables}",0.00122013218098627,1,5.16815554387809,12
"{oil,root vegetables,whole milk,yogurt} => {other vegetables}",0.00142348754448399,0.933333333333333,4.82361184095288,14
"{citrus fruit,root vegetables,tropical fruit,whole milk,yogurt} => {other vegetables}",0.00142348754448399,0.933333333333333,4.82361184095288,14
"{butter,soda,whipped/sour cream} => {other vegetables}",0.00132180986273513,0.928571428571429,4.79900157645822,13
"{butter,pastry,pip fruit} => {other vegetables}",0.00132180986273513,0.928571428571429,4.79900157645822,13
"{rice,root vegetables,whole milk,yogurt} => {other vegetables}",0.00132180986273513,0.928571428571429,4.79900157645822,13
"{soft cheese,tropical fruit,whipped/sour cream} => {other vegetables}",0.00122013218098627,0.923076923076923,4.77060511742593,12
"{citrus fruit,cream cheese,root vegetables} => {other vegetables}",0.00122013218098627,0.923076923076923,4.77060511742593,12
"{citrus fruit,domestic eggs,whipped/sour cream,whole milk} => {other vegetables}",0.00122013218098627,0.923076923076923,4.77060511742593,12
"{grapes,onions} => {other vegetables}",0.00111845449923742,0.916666666666667,4.73747591522158,11
"{hard cheese,oil} => {other vegetables}",0.00111845449923742,0.916666666666667,4.73747591522158,11
"{dessert,tropical fruit,whipped/sour cream} => {other vegetables}",0.00111845449923742,0.916666666666667,4.73747591522158,11
